ID_Keluarga,Kecamatan,Kelurahan,Latitude,Longitude,Desil_Kesejahteraan,Z_Score_Balita,Jenis_Jamban,Pembuangan_Akhir,Sumber_Air_Minum,Kemiskinan_Ekstrem,Risiko_Stunting,Sanitasi_Buruk,Akses_Air_Minim
KK-BJM-001,Banjarmasin Tengah,Pekapuran Laut,-3.348249,114.577503,3,-2.88,Tidak Punya (BABS),Sungai/Danau,Sumur Bor/Terlindung,0,1,1,0
KK-BJM-002,Banjarmasin Tengah,Pekapuran Laut,-3.302631,114.639218,2,-3.57,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,1,0,1
KK-BJM-003,Banjarmasin Timur,Sungai Lulut,-3.347914,114.571864,5,0.28,Cemplung/Plengsengan,Septic Tank,Air Sungai,0,0,1,1
KK-BJM-004,Banjarmasin Selatan,Mantuil,-3.336081,114.614988,7,0.5,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-005,Banjarmasin Selatan,Pemurus Dalam,-3.308751,114.630943,3,-3.97,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-006,Banjarmasin Selatan,Mantuil,-3.320417,114.577787,5,-1.32,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-007,Banjarmasin Timur,Sungai Lulut,-3.343508,114.559672,3,0.24,Cemplung/Plengsengan,Septic Tank,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-008,Banjarmasin Tengah,Melayu,-3.293501,114.622973,4,0.45,Kloset Leher Angsa,SPAL,PDAM,0,0,0,0
KK-BJM-009,Banjarmasin Timur,Sungai Lulut,-3.311357,114.63294,1,-0.91,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,1,0,1,1
KK-BJM-010,Banjarmasin Timur,Benua Anyar,-3.33654,114.556956,3,-0.69,Kloset Leher Angsa,SPAL,PDAM,0,0,0,0
KK-BJM-011,Banjarmasin Timur,Sungai Lulut,-3.290128,114.636648,1,-2.1,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,1,1,0,1
